t 1 2 3 4 5 6 jL0100 jL0200 jL0300 jE0400 jE0504 jE0605 
3.33e-05 0.499048 -0.501572 -0.999474 -0.999474 -1.50105 -1.002 0.0274014 0.054698 -0.000233399 0 0 0
3.36e-05 0.490805 -0.517888 -0.998999 -0.998999 -1.51689 -1.02608 0.0275499 0.0540864 -0.00293079 0 0 0
3.39e-05 0.482519 -0.534018 -0.997716 -0.997716 -1.53173 -1.04922 0.0276959 0.0534553 -0.00562581 0 0 0
3.42e-05 0.474188 -0.549956 -0.995624 -0.995624 -1.54558 -1.07139 0.0278394 0.052805 -0.00831627 0 0 0
3.45e-05 0.465816 -0.565695 -0.992727 -0.992727 -1.55842 -1.09261 0.0279804 0.0521357 -0.011 0 0 0
3.48e-05 0.457401 -0.581231 -0.989027 -0.989027 -1.57026 -1.11286 0.0281189 0.0514476 -0.0136748 0 0 0
3.51e-05 0.448945 -0.596558 -0.984526 -0.984526 -1.58108 -1.13214 0.0282548 0.050741 -0.0163386 0 0 0
3.54e-05 0.440449 -0.61167 -0.979227 -0.979227 -1.5909 -1.15045 0.0283882 0.0500161 -0.0189891 0 0 0
3.57e-05 0.431913 -0.626562 -0.973136 -0.973136 -1.5997 -1.16779 0.0285191 0.0492732 -0.0216243 0 0 0
3.6e-05 0.423338 -0.641229 -0.966258 -0.966258 -1.60749 -1.18415 0.0286474 0.0485126 -0.0242419 0 0 0
3.63e-05 0.414725 -0.655665 -0.958597 -0.958597 -1.61426 -1.19954 0.0287731 0.0477345 -0.0268399 0 0 0
3.66e-05 0.406075 -0.669864 -0.95016 -0.95016 -1.62002 -1.21395 0.0288962 0.0469393 -0.0294162 0 0 0
3.69e-05 0.397388 -0.683823 -0.940954 -0.940954 -1.62478 -1.22739 0.0290167 0.0461271 -0.0319687 0 0 0
3.72e-05 0.388666 -0.697536 -0.930986 -0.930986 -1.62852 -1.23986 0.0291346 0.0452984 -0.0344953 0 0 0
3.75e-05 0.379908 -0.710997 -0.920265 -0.920265 -1.63126 -1.25135 0.0292499 0.0444534 -0.036994 0 0 0
3.78e-05 0.371117 -0.724203 -0.908798 -0.908798 -1.633 -1.26188 0.0293626 0.0435923 -0.0394627 0 0 0
3.81e-05 0.362292 -0.737148 -0.896596 -0.896596 -1.63374 -1.27145 0.0294726 0.0427156 -0.0418995 0 0 0
3.84e-05 0.353434 -0.749828 -0.883669 -0.883669 -1.6335 -1.28006 0.0295799 0.0418235 -0.0443024 0 0 0
3.87e-05 0.344544 -0.762237 -0.870025 -0.870025 -1.63226 -1.28772 0.0296846 0.0409163 -0.0466694 0 0 0
3.9e-05 0.335624 -0.774373 -0.855678 -0.855678 -1.63005 -1.29443 0.0297866 0.0399944 -0.0489986 0 0 0
3.93e-05 0.326673 -0.78623 -0.840638 -0.840638 -1.62687 -1.30019 0.029886 0.0390582 -0.0512882 0 0 0
3.96e-05 0.317693 -0.797804 -0.824917 -0.824917 -1.62272 -1.30503 0.0299826 0.0381078 -0.0535362 0 0 0
3.99e-05 0.308685 -0.80909 -0.808529 -0.808529 -1.61762 -1.30893 0.0300766 0.0371438 -0.0557409 0 0 0
4.02e-05 0.299648 -0.820086 -0.791486 -0.791486 -1.61157 -1.31192 0.0301678 0.0361663 -0.0579005 0 0 0
4.05e-05 0.290585 -0.830786 -0.773802 -0.773802 -1.60459 -1.314 0.0302564 0.0351759 -0.0600132 0 0 0
