t 1 2 3 4 5 6 jV0200 jV0400 
0.0232 25.417 100 48.6153 100 0.025417 0.000972306 -0.00372915 -0.00256923
0.0233 23.3507 100 48.76 100 0.0233507 0.000975201 -0.00383247 -0.002562
0.0234 21.4909 100 48.9038 100 0.0214909 0.000978077 -0.00392546 -0.00255481
0.0235 19.8171 100 49.0467 100 0.0198171 0.000980934 -0.00400915 -0.00254766
0.0236 18.3107 100 49.1887 100 0.0183107 0.000983774 -0.00408446 -0.00254056
0.0237 16.9551 100 49.3298 100 0.0169551 0.000986596 -0.00415225 -0.00253351
0.0238 15.7351 100 49.47 100 0.0157351 0.000989399 -0.00421325 -0.0025265
0.0239 14.6371 100 49.6093 100 0.0146371 0.000992185 -0.00426814 -0.00251954
0.024 13.6491 100 49.7477 100 0.0136491 0.000994953 -0.00431755 -0.00251262
0.0241 12.7599 100 49.8852 100 0.0127599 0.000997704 -0.00436201 -0.00250574
0.0242 11.9596 100 47.2286 100 0.0119596 0.0472286 -0.00440202 -0.00263857
0.0243 11.2394 100 43.8553 100 0.0112394 0.0438553 -0.00443803 -0.00280723
0.0244 10.5913 100 40.4593 100 0.0105913 0.0404593 -0.00447043 -0.00297704
0.0245 10.008 100 37.2592 100 0.010008 0.0372592 -0.0044996 -0.00313704
0.0246 10.0998 100 34.3121 100 0.000201996 0.0343121 -0.00449501 -0.0032844
0.0247 10.4151 100 31.6205 100 0.000208303 0.0316205 -0.00447924 -0.00341897
0.0248 10.8032 100 29.1701 100 0.000216063 0.0291701 -0.00445984 -0.0035415
0.0249 11.2135 100 26.9418 100 0.00022427 0.0269418 -0.00443932 -0.00365291
0.025 11.6294 100 24.9165 100 0.000232587 0.0249165 -0.00441853 -0.00375418
0.0251 12.0451 100 23.0759 100 0.000240902 0.0230759 -0.00439774 -0.0038462
0.0252 12.4589 100 21.4034 100 0.000249177 0.0214034 -0.00437706 -0.00392983
0.0253 12.8701 100 19.8836 100 0.000257401 0.0198836 -0.0043565 -0.00400582
0.0254 13.2785 100 18.5026 100 0.00026557 0.0185026 -0.00433607 -0.00407487
0.0255 13.6841 100 17.2477 100 0.000273682 0.0172477 -0.00431579 -0.00413761
0.0256 14.0869 100 16.1074 100 0.000281738 0.0161074 -0.00429565 -0.00419463
0.0257 14.4869 100 15.0713 100 0.000289738 0.0150713 -0.00427565 -0.00424644
0.0258 14.8841 100 14.1298 100 0.000297682 0.0141298 -0.00425579 -0.00429351
0.0259 15.2786 100 13.2742 100 0.000305571 0.0132742 -0.00423607 -0.00433629
0.026 15.6702 100 12.4968 100 0.000313405 0.0124968 -0.00421649 -0.00437516
0.0261 16.0592 100 11.7904 100 0.000321184 0.0117904 -0.00419704 -0.00441048
0.0262 16.4454 100 11.1485 100 0.000328909 0.0111485 -0.00417773 -0.00444257
0.0263 16.829 100 10.5653 100 0.000336579 0.0105653 -0.00415855 -0.00447174
0.0264 17.2098 100 10.0353 100 0.000344197 0.0100353 -0.00413951 -0.00449824
0.0265 17.5881 100 10.1187 100 0.000351761 0.000202374 -0.0041206 -0.00449406
0.0266 17.9636 100 10.4054 100 0.000359273 0.000208108 -0.00410182 -0.00447973
0.0267 18.3366 100 10.7584 100 0.000366732 0.000215167 -0.00408317 -0.00446208
