t 1 2 3 4 5 6 7 8 9 jO0500 jO0100 jO0300 jV0900 
4.6e-05 0.957221 0 -1.74957 -0.00174782 -0.957221 -0.000956265 0 0 2 0.00191349 -0.00270504 0.000791553 0
4.65e-05 1.04331 0 -1.69963 -0.00169793 -1.04331 -0.00104227 0 0 2 0.00208558 -0.00274124 0.000655665 0
4.7e-05 1.1268 0 -1.64546 -0.00164382 -1.1268 -0.00112567 0 0 2 0.00225247 -0.00277062 0.000518145 0
4.75e-05 1.20748 0 -1.5872 -0.00158561 -1.20748 -0.00120628 0 0 2 0.00241376 -0.0027931 0.000379335 0
4.8e-05 1.23438 0 -1.56778 -1.56778 -1.23438 -1.23438 0 0 3.6126e-13 0.00123438 -0.00123438 8.06587e-19 0
4.85e-05 1.24334 0 -1.5613 -1.5613 -1.24334 -1.24334 0 0 0 0.00124334 -0.00124334 1.90392e-18 0
4.9e-05 1.24633 0 -1.55914 -1.55914 -1.24633 -1.24633 0 0 0 0.00124633 -0.00124633 3.1552e-19 0
4.95e-05 1.24733 0 -1.55843 -1.55843 -1.24733 -1.24733 0 0 0 0.00124733 -0.00124733 -2.83015e-19 0
5e-05 1.24766 0 -1.55819 -1.55819 -1.24766 -1.24766 0 0 0 0.00124766 -0.00124766 4.14083e-18 0
5.05e-05 1.24777 0 -1.55811 -1.55811 -1.24777 -1.24777 0 0 0 0.00124777 -0.00124777 8.50209e-19 0
5.1e-05 1.24781 0 -1.55808 -1.55808 -1.24781 -1.24781 0 0 0 0.00124781 -0.00124781 4.45285e-18 0
5.15e-05 1.24782 0 -1.55807 -1.55807 -1.24782 -1.24782 0 0 0 0.00124782 -0.00124782 -9.96746e-19 0
5.2e-05 1.24782 0 -1.55807 -1.55807 -1.24782 -1.24782 0 0 0 0.00124782 -0.00124782 1.74108e-18 0
5.25e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 -2.11621e-18 0
5.3e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 1.36531e-18 0
5.35e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 2.16438e-18 0
5.4e-05 1.24783 0 -1.55807 -1.55807 -1.24783 -1.24783 0 0 0 0.00124783 -0.00124783 2.50436e-18 0
