t 1 2 jL0100 
51.9 -0.0653825 1.29609 0.366855
52 -0.0302083 1.3312 0.36209
52.1 0.00536881 1.37079 0.36086
52.2 0.0412088 1.41474 0.363197
52.3 0.0771696 1.4629 0.369121
52.4 0.113107 1.51512 0.378636
52.5 0.148877 1.57121 0.391733
52.6 0.184334 1.63098 0.408387
52.7 0.219333 1.69422 0.428561
52.8 0.253729 1.76071 0.452201
52.9 0.287379 1.8302 0.479239
53 0.320141 1.90243 0.509595
53.1 0.351878 1.97715 0.543172
53.2 0.382452 2.05406 0.579861
53.3 0.411731 2.13287 0.61954
53.4 0.439588 2.21329 0.662072
53.5 0.465899 2.29501 0.707309
53.6 0.490546 2.37769 0.755091
53.7 0.513416 2.46103 0.805246
53.8 0.534403 2.54469 0.857592
53.9 0.553407 2.62833 0.911934
54 0.570337 2.71162 0.96807
54.1 0.585107 2.79422 1.02579
54.2 0.59764 2.8758 1.08487
54.3 0.60787 2.95601 1.14509
54.4 0.615735 3.03452 1.20621
54.5 0.621186 3.11101 1.268
54.6 0.624181 3.18515 1.33021
54.7 0.624688 3.25662 1.39259
54.8 0.622686 3.32511 1.45489
54.9 0.618163 3.39033 1.51687
55 0.611116 3.45198 1.57828
55.1 0.601554 3.50979 1.63885
55.2 0.589496 3.5635 1.69834
55.3 0.574969 3.61286 1.7565
55.4 0.558012 3.65762 1.81308
55.5 0.538676 3.69759 1.86786
55.6 0.517017 3.73255 1.92058
55.7 0.493105 3.76233 1.97103
55.8 0.467018 3.78677 2.01898
55.9 0.438843 3.80572 2.06422
56 0.408678 3.81907 2.10655
56.1 0.376627 3.82671 2.14577
56.2 0.342805 3.82857 2.18169
56.3 0.307334 3.8246 2.21416
56.4 0.270342 3.81477 2.243
56.5 0.231968 3.79906 2.26808
56.6 0.192353 3.7775 2.28926
56.7 0.151648 3.75012 2.30643
56.8 0.110008 3.71699 2.31949
56.9 0.067592 3.6782 2.32835
57 0.0245656 3.63385 2.33294
57.1 -0.0189033 3.58408 2.33321
57.2 -0.0626435 3.52905 2.32912
57.3 -0.106481 3.46894 2.32066
57.4 -0.15024 3.40395 2.30783
57.5 -0.193745 3.3343 2.29063
57.6 -0.236817 3.26023 2.26911
57.7 -0.279281 3.18201 2.24332
57.8 -0.32096 3.09991 2.21333
57.9 -0.36168 3.01424 2.17922
58 -0.401271 2.92532 2.1411
58.1 -0.439563 2.83347 2.09908
58.2 -0.476393 2.73905 2.05332
58.3 -0.5116 2.6424 2.00396
58.4 -0.54503 2.54391 1.95117
58.5 -0.576534 2.44395 1.89514
58.6 -0.60597 2.34291 1.83606
58.7 -0.633203 2.2412 1.77416
58.8 -0.658106 2.13921 1.70965
58.9 -0.68056 2.03736 1.64278
59 -0.700454 1.93605 1.57379
59.1 -0.71769 1.8357 1.50295
59.2 -0.732175 1.73671 1.43052
59.3 -0.743831 1.63951 1.35679
59.4 -0.752586 1.54448 1.28204
59.5 -0.758384 1.45204 1.20656
59.6 -0.761176 1.36257 1.13066
59.7 -0.760928 1.27647 1.05463
59.8 -0.757616 1.19409 0.97878
59.9 -0.75123 1.11581 0.903414
60 -0.74177 1.04197 0.828841
60.1 -0.729311 0.971079 0.755363
60.2 -0.714066 0.900252 0.683265
60.3 -0.696326 0.828785 0.612811
60.4 -0.676412 0.756665 0.544232
60.5 -0.654649 0.684079 0.47773
60.6 -0.631359 0.611254 0.413471
60.7 -0.606851 0.538402 0.351595
60.8 -0.581421 0.465703 0.292208
60.9 -0.555351 0.393303 0.235389
61 -0.528908 0.321305 0.181189
61.1 -0.502346 0.249777 0.129633
61.2 -0.475903 0.178745 0.0807202
61.3 -0.449805 0.108198 0.0344291
61.4 -0.424264 0.0380833 -0.00928552
61.5 -0.399479 -0.0316873 -0.050489
61.6 -0.375639 -0.101243 -0.0892661
61.7 -0.352919 -0.170751 -0.12572
61.8 -0.331486 -0.24042 -0.15997
61.9 -0.311496 -0.310498 -0.192153
62 -0.293098 -0.381273 -0.222421
62.1 -0.276435 -0.453076 -0.250939
62.2 -0.26164 -0.526282 -0.277888
62.3 -0.248845 -0.60131 -0.30346
62.4 -0.238177 -0.678625 -0.327863
62.5 -0.22976 -0.758743 -0.351314
62.6 -0.223721 -0.842229 -0.374046
62.7 -0.220183 -0.929705 -0.396302
62.8 -0.219228 -1.02047 -0.418336
62.9 -0.220754 -1.11008 -0.440398
63 -0.224548 -1.19735 -0.462722
63.1 -0.230352 -1.2822 -0.48552
63.2 -0.237897 -1.36485 -0.508979
63.3 -0.24692 -1.4456 -0.53326
63.4 -0.25717 -1.52472 -0.558498
63.5 -0.268408 -1.60246 -0.584805
63.6 -0.28041 -1.67901 -0.612268
63.7 -0.292964 -1.75455 -0.640953
63.8 -0.305871 -1.82917 -0.670906
63.9 -0.318943 -1.90297 -0.702153
64 -0.332004 -1.97599 -0.734703
64.1 -0.344888 -2.04824 -0.768545
64.2 -0.357439 -2.11971 -0.803655
64.3 -0.369514 -2.19038 -0.839993
64.4 -0.380975 -2.26017 -0.877504
64.5 -0.391697 -2.32902 -0.91612
64.6 -0.401563 -2.39683 -0.955763
64.7 -0.410465 -2.46349 -0.996342
64.8 -0.418303 -2.52887 -1.03776
64.9 -0.424989 -2.59285 -1.07989
65 -0.43044 -2.65529 -1.12263
65.1 -0.434584 -2.71602 -1.16585
65.2 -0.437357 -2.77491 -1.20942
65.3 -0.438703 -2.83178 -1.25319
65.4 -0.438576 -2.88649 -1.29701
